,username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls
76,Catuvolcus,,Coronavirus found in sub-Saharan Africa as WHO says spread could 'get out of control' ,1,1,0,1233275131247710208,https://twitter.com/Catuvolcus/status/1233275131247710208,24189610,2020-02-28 06:17:59+00:00,Fri Feb 28 06:17:59 +0000 2020,,,,https://www.theguardian.com/world/2020/feb/28/coronavirus-found-in-sub-saharan-africa-as-who-says-spread-could-get-out-of-control
77,tv2newsdk,,Hund testet 'svagt positiv' for coronavirus http://nyheder.tv2.dk/2020-02-28-hund-testet-svagt-positiv-for-coronavirus?cid=_soco%3Atw%3A4%3Anews%3A%3A%3A,2,4,4,1233274017898881026,https://twitter.com/tv2newsdk/status/1233274017898881026,44584428,2020-02-28 06:13:33+00:00,Fri Feb 28 06:13:33 +0000 2020,,,,http://nyheder.tv2.dk/2020-02-28-hund-testet-svagt-positiv-for-coronavirus?cid=_soco%3Atw%3A4%3Anews%3A%3A%3A
78,KashifAhmadDK,,Corona virus er kommet til Danmark og det bliver sikkert en epidemi i Danmark. Vi har jo maskeringsforbud og tvungne håndtryk. Det går helt galt og vi kommer alle sammen til at dø - men det bliver i fædrelandets tjeneste. #,5,26,0,1233270161265897473,https://twitter.com/KashifAhmadDK/status/1233270161265897473,2484570522,2020-02-28 05:58:14+00:00,Fri Feb 28 05:58:14 +0000 2020,,,,
79,moelhoej,,"Rigtig god dag til alle som arbejder på TV2 @tv2newsdk @tv2nyhederne @tv2danmark #tv2 #dkpol #COVIDー19 #coronavirus Coronavirus har nu bredt sig til Danmark og adskillige lande i Europa. Det har fået konsekvenser for sportsbegivenheder,... ",1,1,0,1233269222492471297,https://twitter.com/moelhoej/status/1233269222492471297,60563971,2020-02-28 05:54:30+00:00,Fri Feb 28 05:54:30 +0000 2020,#tv2 #dkpol #COVID #coronavirus,@tv2newsdk @tv2nyhederne @tv2danmark,,https://www.berlingske.dk/internationalt/liveblog-foerste-dansker-er-smittet-med-coronavirus-efter-skitur
80,ClausWachmann,WordswithSteph,CPAC has the highest moron-density in the known universe #MoronInChief #MoronAVirus #coronavirus #Resist,0,0,0,1233262554052517889,https://twitter.com/ClausWachmann/status/1233262554052517889,340225095,2020-02-28 05:28:00+00:00,Fri Feb 28 05:28:00 +0000 2020,#MoronInChief #MoronAVirus #coronavirus #Resist,,,https://twitter.com/WordswithSteph/status/1233068796971307008
81,Catuvolcus,,"China’s coronavirus epidemic shows strengths, flaws of one country, one system https://www.scmp.com/news/china/politics/article/3052769/chinas-coronavirus-epidemic-shows-strengths-flaws-one-country via @scmpnews",0,0,0,1233261913603268609,https://twitter.com/Catuvolcus/status/1233261913603268609,24189610,2020-02-28 05:25:27+00:00,Fri Feb 28 05:25:27 +0000 2020,,@SCMPNews,,https://www.scmp.com/news/china/politics/article/3052769/chinas-coronavirus-epidemic-shows-strengths-flaws-one-country
82,Danisco,,We are ready to ship out 6080 packs of HOWARU® #probiotics for the front-line health care workers in Wuhan! #DuPont is proud to be able to support and work with the Chinese Red Cross Foundation @CRCFChn in this crucial period. Together we can fight #coronavirus. #COVID19,1,5,0,1233255523555926016,https://twitter.com/Danisco/status/1233255523555926016,24148874,2020-02-28 05:00:04+00:00,Fri Feb 28 05:00:04 +0000 2020,#probiotics #DuPont #coronavirus #COVID19,@CRCFChn,,
83,moelhoej,,"Mens antallet af nye smittetilfælde fortsat daler i Kina, har Sydkorea nu over 2000 smittede med coronavirus. ",1,1,0,1233252526411128834,https://twitter.com/moelhoej/status/1233252526411128834,60563971,2020-02-28 04:48:09+00:00,Fri Feb 28 04:48:09 +0000 2020,,,,https://nyheder.tv2.dk/udland/2020-02-28-i-kina-stiger-bekymringen-for-smittespredning-fra-andre-lande
84,MikkelRosendal,,DR er gået i højeste beredskab. #COVID19 #coronavirus ,0,3,0,1233252046616305664,https://twitter.com/MikkelRosendal/status/1233252046616305664,600572940,2020-02-28 04:46:15+00:00,Fri Feb 28 04:46:15 +0000 2020,#COVID19 #coronavirus,,,
85,MasoudDara,,BREAKING: First coronavirus case officially confirmed for the Netherlands #covid-19 https://dutchreview.com/expat/health/breaking-first-coronavirus-case-officially-confirmed-for-the-netherlands/ via @dutchreviewing,1,1,0,1233244177695158272,https://twitter.com/MasoudDara/status/1233244177695158272,528608785,2020-02-28 04:14:59+00:00,Fri Feb 28 04:14:59 +0000 2020,#covid,@Dutchreviewing,,https://dutchreview.com/expat/health/breaking-first-coronavirus-case-officially-confirmed-for-the-netherlands/
